Country Name,Country Code,Indicator Name,2017
Aruba,ABW,Land area (sq. km),180.0
Afghanistan,AFG,Land area (sq. km),652860.0
Angola,AGO,Land area (sq. km),1246700.0
Albania,ALB,Land area (sq. km),27400.0
Andorra,AND,Land area (sq. km),470.0
Arab World,ARB,Land area (sq. km),13621413.0
United Arab Emirates,ARE,Land area (sq. km),83600.0
Argentina,ARG,Land area (sq. km),2736690.0
Armenia,ARM,Land area (sq. km),28470.0
American Samoa,ASM,Land area (sq. km),200.0
Antigua and Barbuda,ATG,Land area (sq. km),440.0
Australia,AUS,Land area (sq. km),7682300.0
Austria,AUT,Land area (sq. km),82523.0
Azerbaijan,AZE,Land area (sq. km),82663.0
Burundi,BDI,Land area (sq. km),25680.0
Belgium,BEL,Land area (sq. km),30280.0
Benin,BEN,Land area (sq. km),112760.0
Burkina Faso,BFA,Land area (sq. km),273600.0
Bangladesh,BGD,Land area (sq. km),130170.0
Bulgaria,BGR,Land area (sq. km),108560.0
Bahrain,BHR,Land area (sq. km),771.0
"Bahamas, The",BHS,Land area (sq. km),10010.0
Bosnia and Herzegovina,BIH,Land area (sq. km),51200.0
Belarus,BLR,Land area (sq. km),202910.0
Belize,BLZ,Land area (sq. km),22810.0
Bermuda,BMU,Land area (sq. km),50.0
Bolivia,BOL,Land area (sq. km),1083300.0
Brazil,BRA,Land area (sq. km),8358140.0
Barbados,BRB,Land area (sq. km),430.0
Brunei Darussalam,BRN,Land area (sq. km),5270.0
Bhutan,BTN,Land area (sq. km),38117.0
Botswana,BWA,Land area (sq. km),566730.0
Central African Republic,CAF,Land area (sq. km),622980.0
Canada,CAN,Land area (sq. km),9093510.0
Central Europe and the Baltics,CEB,Land area (sq. km),1103976.0
Switzerland,CHE,Land area (sq. km),39516.0
Channel Islands,CHI,Land area (sq. km),190.0
Chile,CHL,Land area (sq. km),743532.0
China,CHN,Land area (sq. km),9388211.0
Cote d'Ivoire,CIV,Land area (sq. km),318000.0
Cameroon,CMR,Land area (sq. km),472710.0
"Congo, Dem. Rep.",COD,Land area (sq. km),2267050.0
