objectid,country,name,company,group_comp,subgroup,groupid,area_ha
6185,CMR,CDC Plantation,,,,,1074.32
6186,CMR,CDC Plantation,,,,,401.715
6187,CMR,Ferme suisse,,,,,4223.68
6188,CMR,Socapalm,,,,,5823.61
6189,CMR,Socapalm,,,,,16321.9
6190,CMR,,,,,,1470.66
6191,CMR,Socapalm,,,,,1696.55
6192,CMR,Socapalm,,,,,1698.41
6193,CMR,,,,,,3307.16
6194,CMR,,,,,,3017.85
6195,CMR,Socapalm,,,,,5105.18
6196,CMR,,,,,,2180.85
6197,CMR,Socapalm,,,,,1873.6
6198,CMR,,,,,,3813.47
6199,CMR,G.S.K. Station,,,,,1553.29
6200,CMR,P.A.M.O.L. Plantation,,,,,5427.33
6201,CMR,PHP,,,,,2128.17
6202,CMR,PHP,,,,,2653.38
6203,CMR,PHP,,,,,112.034
6204,CMR,,,,,,145.164
6205,CMR,,,,,,763.206
6206,CMR,PHP,,,,,5861.57
6207,CMR,,,,,,3823.96
6208,CMR,P.A.M.O.L. Plantation,,,,,5394.84
6209,CMR,PHP,,,,,360.947
6210,CMR,,,,,,182.937
6211,CMR,CDC Plantation,,,,,3387.72
6212,CMR,CDC Plantation,,,,,1817.43
6213,CMR,,,,,,783.78
6214,CMR,,,,,,305.042
6215,CMR,,,,,,992.464
6216,CMR,,,,,,571.267
6217,CMR,,,,,,1582.3
6218,CMR,,,,,,495.282
6219,CMR,,,,,,190.21
6220,CMR,Plantation,,,,,1842.88
6221,CMR,,,,,,1242.43
6222,CMR,,,,,,232.578
6223,CMR,,,,,,572.147
6224,CMR,,,,,,8668.74
6225,CMR,,,,,,15982.4
6226,CMR,CDC Plantation,,,,,4050.87
6227,CMR,CDC Plantation,,,,,1258.49
6228,CMR,,,,,,9178
6229,CMR,,,,,,195.293
6230,CMR,CDC Plantation,,,,,1122.33
6231,CMR,CDC Plantation,,,,,578.712
6232,CMR,,,,,,1553.05
6233,CMR,CDC Plantation,,,,,2015.3
6234,CMR,,,,,,259.102
6235,CMR,CDC Plantation,,,,,4658.96
6236,CMR,CDC Plantation,,,,,650.938
6237,CMR,CDC Plantation,,,,,906.561
6238,CMR,CDC Plantation,,,,,2717.04
6239,CMR,CDC Plantation,,,,,1947.08
6240,CMR,CDC Plantation,,,,,812.485
6241,CMR,P.A.M.O.L. Plantation,,,,,937.661
6242,CMR,SAFACAM,,,,,10678.4
6243,CMR,SAFACAM,,,,,4640.27
6244,CMR,SAFACAM,,,,,8008.96
6245,CMR,SAFACAM,,,,,647.708
6246,CMR,SGSOC- HERAKLES,,,,,494.622
6247,CMR,SGSOC- HERAKLES,,,,,500.722
6248,CMR,SGSOC- HERAKLES,,,,,185.22
6249,CMR,SGSOC- HERAKLES,,,,,326.862
6250,CMR,SGSOC- HERAKLES,,,,,203.783
6251,CMR,SGSOC- HERAKLES,,,,,1497.54
6252,CMR,SGSOC- HERAKLES,,,,,1081.02
6253,CMR,SGSOC- HERAKLES,,,,,1085.53
6254,CMR,SGSOC- HERAKLES,,,,,826.428
6255,CMR,SGSOC- HERAKLES,,,,,2453.16
6256,CMR,SGSOC- HERAKLES,,,,,345.545
6257,CMR,SGSOC- HERAKLES,,,,,3397.33
6258,CMR,SGSOC- HERAKLES,,,,,484.132
6259,CMR,SGSOC- HERAKLES,,,,,736.474
6260,CMR,SGSOC- HERAKLES,,,,,745.026
6261,CMR,SGSOC- HERAKLES,,,,,202.34
6262,CMR,SGSOC- HERAKLES,,,,,647.374
6263,CMR,SGSOC- HERAKLES,,,,,420.981
6264,CMR,SGSOC- HERAKLES,,,,,364.822
6265,CMR,SGSOC- HERAKLES,,,,,281.074
6266,CMR,SGSOC- HERAKLES,,,,,279.26
6267,CMR,SGSOC- HERAKLES,,,,,1085.53
6268,CMR,SGSOC- HERAKLES,,,,,203.783
6269,CMR,SGSOC- HERAKLES,,,,,1497.54
6270,CMR,SGSOC- HERAKLES,,,,,1081.02
6271,CMR,SGSOC- HERAKLES,,,,,1085.53
6272,CMR,SGSOC- HERAKLES,,,,,494.622
6273,CMR,SGSOC- HERAKLES,,,,,500.722
6274,CMR,SGSOC- HERAKLES,,,,,185.22
6275,CMR,SGSOC- HERAKLES,,,,,326.862
6276,COG,Palmeraie,,,,,19949.5*
6277,COG,Palmeraie,,,,,5678.46*
6278,COG,Palmeraie,,,,,11111.7*
6279,COG,Plantation sylvicole,,,,,1518.89*
6280,COG,Plantation sylvicole,,,,,90426.4*
6281,COG,GR,,,,,5.49158*
6282,COG,Plantation d'eucalyptus,,,,,464.200*
6283,COG,Projet palmeraie,,,,,133512.*
6284,COG,Projet palmeraie,,,,,71774.8*
6285,COG,Projet Palmeraie ATAMA Plantation,,,,,189765.*
6286,COG,Zone à défricher ATAMA,,,,,4331.17*
6287,COG,Zone à défricher ATAMA,,,,,7282.93*
6288,COG,Projet Palm ATAMA Plantation,,,,,6.66046*
6289,COG,Projet Palm ATAMA Plantation,,,,,0.20249*
6290,COG,Projet Palm ATAMA Plantation,,,,,1.88302*
6291,IDN,PT. Swakarsa Sinar Sentosa,PT. Swakarsa Sinar Sentosa,Sinar Mas,,68,16894
6292,IDN,PT. Setiau Farm,PT. Setiau Farm,No group,,99,94
6293,IDN,PT. Sena Bangun Aneka Pertiwi,PT. Sena Bangun Aneka Pertiwi,No group,,99,20552
6294,IDN,PT. Rambay Panji Bersama Jaya,PT. Rambay Panji Bersama Jaya,No group,,99,8134
