country,tradeUSD
Albania,4502299.0
Algeria,658666697.86
Andorra,18605.0
Angola,46710010.0
Anguilla,261.0
Antigua and Barbuda,165.0
Argentina,803924.98
Armenia,125096.84
Australia,5032815.440807069
Austria,50865236.74156612
Azerbaijan,370460435.2
Bahamas,129563.0
Bahrain,2765687.0
Bangladesh,10933623152.0
Barbados,145239.0
Belarus,3517698.0
Belgium,1133028667.3793209
Belgium-Luxembourg,172549974.0
Belize,493.0
Benin,36825319.0
Bermuda,105.0
Bhutan,51992442.0
Bolivia (Plurinational State of),134562.0
Bosnia Herzegovina,926601.0
Botswana,977960.684972004
Brazil,360446468.0
Brunei Darussalam,782845.869962
Bulgaria,8096768.66651094
Burkina Faso,13300342.0
Burundi,23560884.49430503
Cabo Verde,1529288.3742587501
Cambodia,5104472.0
Cameroon,398078144.2026
Canada,7670806.2191037
Central African Rep.,3027354.0
Chile,32774860.54
China,2774160072.0
"China, Hong Kong SAR",46795404.353085
Colombia,659143553.26
Comoros,295306.0
Congo,211502.0
Cook Isds,7057.0
Costa Rica,158928881.0
Croatia,1634755.0
Cuba,46123.0
Cyprus,170531.57798024
Czech Rep.,16136987.0
Côte d'Ivoire,413953352.0
Denmark,456847721.242342
Djibouti,22132.0
Dominica,8669.0
Dominican Rep.,268631874.28999996
EU-28,43951647726.58725
Ecuador,28709907.0
Egypt,619073211.8461202
El Salvador,410560786.04999995
Eritrea,125351.0
Estonia,1054620.3718109191
Ethiopia,486605192.0
FS Micronesia,451719.0
Faeroe Isds,2866.0
Fiji,330276.0
Finland,688666024.0
Fmr Fed. Rep. of Germany,193974000.0
Fmr Sudan,6004574.0
France,1304976826.6725826
French Polynesia,624.0
Gabon,3957678.0
Gambia,624689.0
Georgia,504431.64
Germany,8908333181.233074
Ghana,652116663.1237121
Greece,124694657.64336
Greenland,659341.0
Grenada,394.0
Guatemala,33621909.0
Guinea,4429139.0
Guinea-Bissau,17186.0
Guyana,9062511.76301929
Honduras,109848458.38
Hungary,16964804.0
Iceland,1648547.4353508
India,50328433097.01747
Indonesia,108883138.0
Iran,97283387.0
Ireland,523064855.9872122
Israel,105386000.0
Italy,6709533216.376131
Jamaica,4775662.8
Japan,339197091.90608
Jordan,552423330.3871
Kazakhstan,21073976.16
Kenya,3646788196.2407093
Kiribati,523.49676864
Kuwait,11738647.15137877
Kyrgyzstan,6945110.0
Lao People's Dem. Rep.,392944.0
Latvia,297411.32221216
Lebanon,4415637.0
Lesotho,167804.0
Libya,273580.0
Lithuania,4340572.0
Luxembourg,219894.905030018
Madagascar,250711474.5524404
Malawi,65434311.0
Malaysia,7666660161.605056
Maldives,67073.0
Mali,10539474.7029888
Malta,2141433.0
Martinique,32593.0
Mauritania,38271908.66940051
Mauritius,4731573.0
Mayotte,1387540.0
Mexico,4414420892.0
Mongolia,345044.0
Montenegro,430574.861262348
Morocco,244531053.0
Mozambique,686223686.36
Myanmar,7323025.0
Namibia,213061.319129491
Nepal,565664623.1298614
Neth. Antilles,2511.0
Netherlands,21160581413.47545
New Caledonia,13057.0
New Zealand,3214550.65367216
Nicaragua,75396631.87
Niger,40264587.0
Nigeria,821024478.65853
Norway,23119481.535472
Oman,119761328.989
"Other Asia, nes",10472507.0
Pakistan,3788812278.0599885
Palau,1089.42
Panama,4454230.0
Papua New Guinea,10954102.0
Paraguay,869.0
Peru,166283667.91
Philippines,2708377.0
Poland,577686019.0
Portugal,77020084.999524
Qatar,31586105.0
Rep. of Korea,24156245.0
Rep. of Moldova,328500.0
Romania,36256410.61
Russian Federation,52704060.0
Rwanda,20571039.0
Réunion,1740.0
Saint Kitts and Nevis,1503.0
Saint Lucia,1579036.0
Samoa,6630.0
Sao Tome and Principe,8440.0
Saudi Arabia,2439831078.7799997
Senegal,90180826.35962951
Serbia,1111191.0
Serbia and Montenegro,130056.0
Seychelles,136204.4
Sierra Leone,23717592.7064295
Singapore,1618653528.1850386
Slovakia,14432866.49896431
Slovenia,6079093.34
So. African Customs Union,4176890.0
Solomon Isds,21560.0
South Africa,5660390.77552769
Spain,5441750323.3527775
Sri Lanka,595823782.4281548
State of Palestine,3992336.0
Sudan,1306997.0
Suriname,820.0
Swaziland,101155.0
Sweden,45782964.83639
Switzerland,172928056.6767086
Syria,64338238.0
TFYR of Macedonia,180364.11
Thailand,146710897.0
Timor-Leste,2062924.0
Togo,84055397.94358653
Tonga,7652.0
Trinidad and Tobago,90682.0
Tunisia,161132266.0
Turkey,75795601.0
USA,132510157.0
Uganda,1393083843.3600001
Ukraine,833216513.41
United Arab Emirates,32150558.0
United Kingdom,5452691866.67776
United Rep. of Tanzania,1527386306.0
Uruguay,2545909.55
Vanuatu,1771.0
Venezuela,496953811.0
Viet Nam,1392766833.0
Yemen,213155688.0
Zambia,165069978.09
Zimbabwe,19775141.0
